"experiment","chunk_size","chunk_overlap","top_k","similarity_threshold","question_count","hit_rate","refusal_accuracy","answer_accuracy","average_result_count","output_file","notes"
"baseline","500","50","3","","20","1.000000","1.000000","1.000000","3.000000","eval_results_baseline.csv","20 题答案已按人工金标准逐题复核"
"chunk_300_50","300","50","3","","20","1.000000","0.800000","","3.000000","eval_results_chunk_300_50.csv",""
"chunk_500_50","500","50","3","","20","1.000000","0.800000","","3.000000","eval_results_chunk_500_50.csv",""
"chunk_800_100","800","100","3","","20","1.000000","0.800000","","3.000000","eval_results_chunk_800_100.csv",""
"top_k_3","500","50","3","","20","1.000000","0.800000","","3.000000","eval_results_top_k_3.csv",""
"top_k_5","500","50","5","","20","1.000000","0.800000","","5.000000","eval_results_top_k_5.csv",""
"top_k_8","500","50","8","","20","1.000000","0.800000","","6.000000","eval_results_top_k_8.csv",""
"threshold_probe","500","50","8","","20","1.000000","0.800000","","6.000000","eval_results_threshold_probe.csv",""
"filter_reimbursement","500","50","3","","2","0.500000","1.000000","","2.000000","eval_results_filter_reimbursement.csv",""
"filter_operations","500","50","3","","2","0.500000","1.000000","","2.000000","eval_results_filter_operations.csv",""
"threshold_0_45","500","50","8","0.45","20","0.500000","0.600000","","0.450000","eval_results_threshold_0_45.csv",""
"threshold_0_6","500","50","8","0.6","20","1.000000","1.000000","","1.900000","eval_results_threshold_0_6.csv",""
"threshold_0_8","500","50","8","0.8","20","1.000000","0.950000","","4.750000","eval_results_threshold_0_8.csv",""
